id,sin,cobertura,fec_ocu,causa,ent_mun,tipo_perd,monto_ded,monto_ocu
64949,617312,1,20220715,6,24028,1,0,-4000
78018,646168,1,20221211,6,24028,1,0,-4000
329328,769420,1,20241122,6,24028,1,5825,6175
173505,720418,1,20240225,6,24028,1,0,2200
260103,739514,1,20240610,6,24028,1,0,0.01
178014,688105,1,20230801,6,24028,1,0,56995
214468,725910,1,20240326,6,24028,1,0,0
175128,699598,1,20231015,6,24028,1,0,0
211273,723942,1,20240315,6,24028,1,0,0
127043,646883,1,20221215,6,24028,1,0,8586.76
147946,705479,1,20231121,6,24028,1,2700,7041.45
36497,627549,1,20220911,6,24028,1,0,-1410
34187,602734,1,20220426,6,24028,1,0,4571
10326,650979,1,20230101,6,24028,1,0,0.01
229808,749452,1,20240804,6,24028,1,0,0.01
35295,621579,1,20220807,2,24028,1,2455,12545
260809,775908,1,20241228,6,24028,1,0,0.01
132428,653336,1,20230121,6,24028,1,0,-0.01
112137,692106,1,20230101,6,24028,1,0,0.01
103371,693136,1,20230101,6,24028,1,1950,4102.75
239948,731637,1,20240501,6,24028,1,0,0
62317,655302,1,20230101,6,24028,1,0,3379.73
170637,667652,1,20230405,6,24028,1,0,0
293128,776237,1,20241231,6,24028,1,0,10000
282590,756355,1,20240909,6,24028,1,0,20398.03
236272,766973,1,20241109,6,24028,1,0,8500
183470,713548,1,20240116,6,24028,1,7910,23856.66
185824,678686,1,20230607,6,24028,1,0,0
286511,773660,1,20241214,6,24028,1,0,70000
5336,652237,1,20230116,6,24028,1,0,-1
125893,664713,1,20230321,6,24028,1,2455,2113.18
247983,766819,1,20241108,6,24028,1,0,2500
221962,732488,1,20240502,6,24028,1,0,7476.83
229237,747221,1,20240725,6,24028,1,0,12575.27
185706,706684,1,20231129,6,24028,1,0,15122
43505,620805,1,20220803,6,24028,1,10855,2366.36
158109,673812,1,20230512,6,24028,1,0,88427
148462,696785,1,20230927,6,24028,1,0,0
28533,601801,1,20220418,6,24028,1,8070,18521.06
245511,769368,1,20241123,6,24028,1,0,14000
126261,709213,1,20231215,6,24028,1,0,-13000
161563,709227,1,20231215,6,24028,1,7560,12766.7
214932,695057,1,20230914,6,24028,1,14110,22907.25
105433,684805,1,20230712,6,24028,1,0,0
150176,686062,1,20230720,6,24028,1,0,0
63992,641117,1,20221114,6,24028,1,0,0
128297,699563,1,20231014,6,24028,1,0,-4000
130667,659429,1,20230101,6,24028,1,5424,12310.54
132314,648405,1,20221222,6,24028,1,0,0
82886,651542,1,20230101,6,24028,1,2000,3630
304526,765700,1,20241102,6,24028,1,0,3500
151904,706179,1,20231125,6,24028,1,0,14147.2
225210,705371,1,20231119,6,24028,1,0,16244
200595,727822,1,20240409,6,24028,1,2880,12719.27
188500,723935,1,20240314,6,24028,1,0,0
147078,699511,1,20231014,6,24028,1,0,25115
138809,702253,1,20231031,6,24028,1,0,-12000
18772,646369,1,20221213,6,24028,1,6240,-5757.05
306861,770420,1,20241128,6,24028,1,0,12500
127142,687847,1,20230101,6,24028,1,0,0.01
